terms,clusters
artificial neural networks,5
genetic algorithm,3
machine learning,1
fuzzy logic,1
expert system,7
data mining,1
expert,4
reasoning,4
support vector machine,1
optimization,3
simulation,5
knowledge representation,4
learning,1
distributed artificial intelligence,5
robotics,0
pattern recognition,4
ontology,2
multi agent,5
decision making,5
multi agent system,7
classification,1
agent,0
decision support,5
natural language processing,4
knowledge system,7
reinforcement learning,1
decision support system,7
modeling,1
planning,6
fault diagnosis,5
algorithm,3
knowledge,2
intelligent agent,7
particle swarm optimization,3
image processing,1
decision tree,3
prediction,1
knowledge management,7
intelligent system,7
knowledge engineering,7
diagnosis,4
bayesian network,1
genetic programming,1
scheduling,6
control,6
human computer interaction,2
computational intelligence,5
forecasting,3
modelling,1
game,0
robot,0
computer vision,7
evolutionary algorithm,3
rough set,1
heuristic,3
anfis,8
cybernetics,2
knowledge base,4
automation,7
cognitive science,2
multiagent system,7
model,1
semantic web,2
evolutionary computation,1
feature extraction,1
database,4
fuzzy set,8
information retrieval,4
computer aided,7
uncertainty,5
intelligent tutoring system,7
education,0
constraint satisfaction,5
clustering,8
virtual reality,0
e learning,1
multi layer perceptron,1
swarm intelligence,5
knowledge acquisition,4
cognition,2
big data,5
sensor,6
computer,2
internet thing,0
software engineering,7
fuzzy control,3
solving,3
geographic information,7
emotion,2
intelligent control,7
principal component analysis,1
feature selection,1
mobile robot,0
intelligence,4
game theory,4
internet,0
ant colony optimization,3
self organizing map,4
intelligent,7
soft computing,5
tabu search,5
logic programming,1
rule,1
architecture,7
information system,7
fuzzy system,5
logic,1
ambient intelligence,7
identification,1
process control,6
monitoring,0
artificial intelligence technique,4
fuzzy inference,1
convolutional neural networks,1
autonomous agent,0
consciousness,2
application,7
simulated annealing,3
information,7
smart grid,0
information technology,7
semantics,2
knowledge discovery,4
search,3
adaptive neuro fuzzy inference,1
artificial life,4
optimisation,3
condition monitoring,5
management,0
evaluation,1
component,5
signal processing,5
turing test,5
bioinformatics,2
computer game,7
technology,0
integration,5
text mining,4
time series,3
argumentation,4
heuristic search,3
wireless sensor network,6
deep learning,1
human robot interaction,2
support vector regression,1
representation,1
neuro fuzzy,1
context,2
creativity,2
wavelet transform,8
cloud computing,6
security,0
multiagent,7
fuzzy neural network,1
fault detection,5
fuzzy,8
autonomy,0
speech recognition,4
computer science,2
negotiation,7
intrusion detection,5
user interface,7
remote sensing,7
network,5
methodology,5
communication,7
power system,6
