0,1,2,3,4,5,6,7,8,9
multi agent,genetic algorithm,simulation,agent,ontology,reasoning,expert system,automation,artificial neural networks,fuzzy logic
planning,classification,optimization,robotics,cybernetics,knowledge representation,expert,sensor,data mining,machine learning
scheduling,bayesian network,decision tree,robot,cognitive science,pattern recognition,knowledge system,monitoring,distributed artificial intelligence,learning
control,prediction,algorithm,game,cognition,natural language processing,multi agent system,autonomous agent,support vector machine,modeling
process control,rough set,particle swarm optimization,computer,emotion,knowledge base,decision support system,management,decision support,reinforcement learning
condition monitoring,model,heuristic,virtual reality,consciousness,database,intelligent agent,power system,decision making,modelling
operation,evolutionary algorithm,genetic programming,education,creativity,information retrieval,knowledge,manufacturing,fault diagnosis,logic
distributed control,fuzzy set,forecasting,internet,language,semantic web,knowledge engineering,real time,diagnosis,e learning
maintenance,clustering,evolutionary computation,mobile robot,computer science,knowledge acquisition,knowledge management,communication,image processing,feature extraction
process planning,feature selection,constraint satisfaction,web,breast cancer,self organizing map,intelligent system,supply chain management,computational intelligence,principal component analysis
production,multi layer perceptron,fuzzy control,technology,medical informatics,artificial life,computer aided,cooperation,uncertainty,representation
power,rule,solving,agent technology,psychology,intelligence,multiagent system,system,identification,temporal reasoning
process,evaluation,tabu search,web service,natural language,knowledge discovery,human computer interaction,autonomy,soft computing,neuro fuzzy
distributed,fuzzy inference,logic programming,java,cognitive informatics,game theory,computer vision,software,swarm intelligence,graph theory
strategy,fuzzy,anfis,humanoid robot,epistemology,artificial intelligence application expert system,intelligent tutoring system,software agent,object oriented programming,statistic
supervisory control,hybrid,fuzzy system,video game,mind,turing test,intelligent control,control system,signal processing,qualitative reasoning
search engine,probability,ant colony optimization,robocup,philosophy,semantics,software engineering,manufacturing system,integration,image analysis
path planning,graph,search,telemedicine,ethic,text mining,geographic information,wireless sensor network,computer simulation,qsar
parallel computing,wavelet transform,heuristic search,cim,review,artificial intelligence technique,information system,distributed system,methodology,data analysis
fpga,hidden markov model,simulated annealing,event,vision,speech recognition,architecture,flexible manufacturing system,object oriented,rough set theory
adaptive system,support vector regression,optimisation,ds,survey,argumentation,information,mobile agent,hybrid system,analysis
routing,training,time series,interface,cancer,learning system,intelligent,security,component,unsupervised learning
memory,satisfiability,network,agency,phenomenology,semantic network,ambient intelligence,wastewater treatment,intrusion detection,abduction
distributed computing,fuzzy set theory,evolution,virtual world,formal language,artificial immune,remote sensing,real time system,cellular automaton,rule reasoning
supply chain,logistic regression,adaptive control,humanoid,chatbot,perception,multiagent,autonomous system,machine vision,model reasoning
job shop scheduling,approximate reasoning,complexity,,brain,information extraction,information technology,smart grid,petri net,association rule
time,linear programming,fault detection,,dialogue,information theory,bioinformatics,intelligent manufacturing system,complex system,nonmonotonic reasoning
vehicle routing,back propagation,fuzzy neural network,,medicine,cognitive architecture,context,quality service,data fusion,image segmentation
matlab,pattern classification,parallel processing,,music,relational database,user interface,flexible manufacturing,model diagnosis,discriminant analysis
optimal control,radial basis function,combinatorial optimization,,science,concept,embodiment,intelligent manufacturing,visualization,fuzzy reasoning
nuclear power plant,backpropagation,programming,,neuroscience,artificial intelligence medicine,coordination,economic dispatch,concurrent engineering,q learning
real time control,wavelet,performance,,disease,connectionism,application,network management,affective computing,qualitative simulation
traffic control,segmentation,computational complexity,,philosophy mind,cbr,negotiation,marketing,frame,gene expression programming
computing,fuzzy rule,dynamic,,aiml,knowledge representation formalism method,computer aided diagnosis,capp,decision theory,non monotonic reasoning
energy management,entropy,dynamic programming,,epidemiology,social network analysis,engineering,risk,automated reasoning,supervised learning
distributed solving,regression,local search,,cognitive psychology,theory,computer game,transportation,prognosis,fuzzy cognitive map
optimal power flow,fuzzy clustering,forecast,,metaphor,explanation,intelligent tutoring,environment,prolog,mathematical model
