0,1,2,3,4
genetic algorithm,expert system,decision support system,artificial neural networks,distributed artificial intelligence
fuzzy logic,agent,scheduling,expert,knowledge representation
machine learning,robotics,planning,knowledge system,simulation
reasoning,multi agent system,automation,knowledge,pattern recognition
learning,intelligent agent,control,knowledge engineering,decision support
optimization,computer,process control,computer aided,data mining
classification,knowledge management,power system,knowledge base,diagnosis
modeling,intelligent system,real time,database,decision making
decision tree,internet,management,cybernetics,fault diagnosis
constraint satisfaction,software engineering,operation,artificial intelligence application expert system,multi agent
heuristic,intelligent control,adaptive control,cognitive science,image processing
algorithm,robot,negotiation,natural language processing,knowledge acquisition
model,multiagent system,coordination,ontology,modelling
fuzzy set,architecture,system,human computer interaction,object oriented programming
solving,application expert system,supervisory control,computer vision,uncertainty
fuzzy control,information system,manufacturing,cognition,logic programming
logic,mobile robot,monitoring,computer assisted diagnosis,tabu search
forecasting,autonomous agent,process planning,knowledge discovery,heuristic search
qualitative reasoning,intelligent tutoring system,distributed control,intelligence,information retrieval
prediction,real time computer system,cooperation,artificial intelligence general,integration
approximate reasoning,virtual reality,sensor,computer application,fuzzy system
search,rule system,manufacturing system,artificial life,identification
rough set,user interface,production,consciousness,parallel processing
rule,flexible manufacturing system,quality control,creativity,object oriented
optimisation,information technology,process,computer aided engineering,reinforcement learning
representation,blackboard,multiagent,context,hybrid system
bayesian network,education,control system,turing test,temporal reasoning
model reasoning,world wide web,network management,engineering,computer simulation
simulated annealing,intelligent,flexible manufacturing,medical imaging,information
combinatorial optimization,application,project management,self organizing map,genetic programming
qualitative simulation,multimedia,power,language,concurrent engineering
qsar,organization,automatic control,semantics,evolutionary computation
clustering,software agent,production system,intelligent machine,methodology
fuzzy set theory,game,maintenance,speech recognition,network
satisfiability,real time system,strategic planning,medical informatics,petri net
evaluation,computer integrated manufacturing,distributed,epistemology,knowledge representation formalism method
adaptation,software,atm,review,decision theory
statistic,blackboard architecture,transportation,connectionism,semantic network
complexity,man machine interface,supply chain management,computer science,fault detection
hybrid,intelligent manufacturing system,action,mind,soft computing
linear programming,geographic information system,power operation,embodiment,graph theory
inductive learning,autonomy,assembly,computer aided diagnosis,support vector machine
reliability,computer control,optimal control,medical diagnosis,learning system
evolutionary algorithm,behavior,real time control,perception,image analysis
graph,cim,distributed system,breast cancer,failure detection
feature extraction,chemical industry,distributed computing,lisp,condition monitoring
training,remote sensing,traffic control,formal language,evolution
qualitative modeling,intelligent manufacturing,manufacturing process,natural language,computational intelligence
backpropagation,environment,wastewater treatment,logic artificial intelligence,prolog
abduction,marketing,time,pathology,signal processing
fuzzy,electronic commerce,,collaborative,programming
probability,java,,hypermedia,decision analysis
rule induction,collaboration,,game theory,fuzzy neural network
constraint propagation,cam,,information theory,local search
feature selection,communication,,human factor,influence diagram
validation,agent architecture,,economics,data analysis
performance evaluation,blackboard system,,artificial intelligence medicine,nonmonotonic reasoning
qualitative physic,mechatronics,,,grinding
performance,,,,belief network
transient stability,,,,principal component analysis
discriminant analysis,,,,automated reasoning
fuzzy reasoning,,,,evolutionary programming
analysis,,,,frame
stability,,,,user modeling
,,,,integer programming
,,,,distributed solving
,,,,simulation modeling application
,,,,sensor fusion
,,,,visualization
,,,,solving control method search
,,,,model diagnosis
,,,,finite element
,,,,blackboard model
,,,,diagnostics
,,,,relational database
,,,,structure activity relationship
,,,,temporal logic
,,,,adaptive system
,,,,nonlinear system
,,,,retrieval
,,,,supervision
,,,,morphometry
,,,,parallel computing
,,,,prognosis
,,,,heuristic programming
